Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_CO2R_,MN_CO2R_,SD_CO2R_,CV_CO2R_,SLP_CO2R_,column_for_Exclude_pts
2,11:05:06,y/m,9,shade,2,602,0,0.377,0.0582,85.4,1.16,1.96,29.82,6,1.42,1,2.84,29.59,29.82,29.95,99.73,99,21.021,22.727,50.17,54.24,400.1,1500,7,99.29,4.08,-0.217,0.5,-0.22,2.74,1,0,0.16,111115,30,99.3,4.90E-01,5.00E-01,-5.50E+00,30,22.7,5.00E-03,2.20E-02,5.40E-02,30,400,2.40E-02,5.90E-03,9.50E-02,30,99.3,2.90E-01,2.90E-01,3.60E+00,OK
3,11:11:14,y/m,9,shade,2,1266.5,0,-0.409,0.102,55.3,1.84,1.8,29.68,6,1.42,1,2.84,29.6,29.68,29.95,49.74,50.21,21.327,24.018,50.84,57.25,400,1499,10,99.26,3.61,-0.254,1,-0.22,2.74,1,0,0.16,111115,30,50.2,3.20E-02,6.40E-02,-2.60E-01,30,24,6.20E-03,2.60E-02,7.20E-02,30,400,2.70E-02,6.80E-03,-3.00E-01,30,49.8,4.30E-02,8.60E-02,-3.30E-01,OK
4,11:14:19,y/m,9,shade,2,1451,0,0.669,0.115,86.8,2.02,1.75,29.63,6,1.42,1,2.84,29.6,29.63,29.95,100.4,99.1,21.41,24.368,51.03,58.08,400,1499,14,99.24,4.1,-0.267,0.8,-0.22,2.74,1,0,0.16,111115,30,99.1,3.40E-02,3.50E-02,2.60E-01,30,24.4,4.30E-03,1.80E-02,-7.50E-04,30,400,1.10E-02,2.80E-03,8.90E-03,30,99.8,6.20E-01,6.20E-01,8.00E+00,OK
5,11:17:37,y/m,9,shade,2,1650.5,0,1.71,0.124,120,2.13,1.72,29.61,6,1.42,1,2.84,29.6,29.61,29.95,149.77,146.73,21.493,24.609,51.22,58.65,400.1,1500,18,99.23,4.33,-0.27,0.8,-0.22,2.74,1,0,0.16,111115,30,147,1.10E-01,7.70E-02,1.40E+00,30,24.6,4.40E-03,1.80E-02,5.90E-03,30,400,2.10E-02,5.20E-03,1.50E-01,30,148,1.40E+00,9.50E-01,1.80E+01,OK
6,11:20:19,y/m,9,shade,2,1812.5,0,3.96,0.122,185,2.12,1.73,29.64,6,1.42,1,2.84,29.61,29.64,29.95,251.31,244.6,21.54,24.635,51.3,58.67,400,1500,21,99.22,4.81,-0.275,0.5,-0.22,2.74,1,0,0.16,111115,30,245,2.20E-01,9.00E-02,2.30E+00,30,24.7,6.70E-03,2.70E-02,-5.30E-02,30,400,1.90E-02,4.80E-03,-4.00E-02,30,247,3.00E+00,1.20E+00,3.80E+01,OK
7,11:24:49,y/m,9,shade,2,2082,0,5.46,0.103,246,1.86,1.79,29.76,6,1.42,1,2.84,29.63,29.76,29.95,351.3,342.15,21.63,24.349,51.44,57.9,400.1,1500,26,99.21,4.98,-0.256,0.8,-0.22,2.74,1,0,0.16,111115,30,342,7.10E-02,2.10E-02,9.30E-01,30,24.4,1.50E-02,6.40E-02,-2.00E-01,30,400,1.50E-02,3.70E-03,3.50E-02,30,347,4.30E+00,1.20E+00,5.60E+01,OK
8,11:28:39,y/m,9,shade,2,2312,0,7.52,0.0802,370,1.51,1.85,29.84,6,1.42,1,2.84,29.65,29.84,29.95,550.57,538.08,21.703,23.908,51.56,56.8,400.1,1500,20,99.19,4.99,-0.238,0.8,-0.22,2.74,1,0,0.16,111115,30,538,3.90E-02,7.30E-03,3.90E-01,30,23.9,8.50E-03,3.60E-02,4.60E-02,30,400,1.90E-02,4.80E-03,2.20E-01,30,542,5.40E+00,9.90E-01,6.10E+01,OK
9,11:34:00,y/m,9,shade,2,2633.5,0,8.34,0.0553,471,1.12,1.97,30.08,6,1.42,1,2.84,29.68,30.08,29.95,750.01,736.27,21.627,23.262,51.27,55.14,400.1,1500,20,99.17,4.33,-0.213,0.8,-0.22,2.74,1,0,0.16,111115,30,736,6.20E-02,8.40E-03,6.70E-01,30,23.3,8.40E-03,3.60E-02,-8.60E-02,30,400,2.10E-02,5.30E-03,7.50E-02,30,749,1.60E+00,2.10E-01,1.20E+01,OK
10,11:37:13,y/m,9,shade,2,2826.5,0,9.18,0.0443,622,0.915,2.01,30.16,6,1.42,1,2.84,29.7,30.16,29.95,1000.44,985.32,21.729,23.07,51.46,54.63,400,1500,19,99.16,2.73,-0.211,0.5,-0.22,2.74,1,0,0.16,111115,30,986,6.80E-01,6.90E-02,-6.80E+00,30,23.1,7.10E-03,3.10E-02,-8.10E-02,30,400,1.50E-02,3.70E-03,1.00E-01,30,992,7.10E+00,7.10E-01,8.90E+01,OK
11,11:42:26,y/m,9,shade,2,3140,0,9.34,0.0314,721,0.671,2.07,30.31,6,1.42,1,2.84,29.73,30.31,29.95,1250.13,1234.88,21.897,22.88,51.77,54.09,400,1499,23,99.16,0.487,-0.197,0.5,-0.22,2.74,1,0,0.16,111115,30,1.24E+03,1.00E+00,8.20E-02,-9.80E+00,30,22.9,7.20E-03,3.20E-02,6.20E-02,30,400,1.80E-02,4.40E-03,-4.00E-03,30,1.24E+03,7.00E+00,5.60E-01,8.20E+01,OK
