Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
32,10:55:02,y/m,9,sun,5,5703.0,0,12.3,0.0339,1.3E+03,1.17,3.33,33.26,6,1.42,1,2.84,30.20,33.26,29.94,1999.07,1977.22,16.451,18.168,37.83,41.78,400.1,1999,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,9.9E-02,5.0E-03,5.7E-01,30,18.2,7.1E-03,3.9E-02,9.3E-02,30,400,1.8E-02,4.4E-03,2.0E-01,40,12.3,1.5E-01,1.2E+00,-2.5E-01,OK
33,10:56:41,y/m,9,sun,5,5802.0,0,12.4,0.0337,1.3E+03,1.12,3.21,32.89,6,1.42,1,2.84,30.17,32.89,29.94,1998.78,1976.92,16.622,18.266,38.28,42.07,400.0,1751,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,1.3E-01,6.4E-03,8.5E-01,30,18.3,7.1E-03,3.9E-02,9.4E-02,30,400,1.9E-02,4.7E-03,-1.7E-01,40,12.3,1.2E-01,9.9E-01,4.7E-01,OK
34,10:58:12,y/m,9,sun,5,5893.0,0,11.7,0.0331,1.32E+03,1.06,3.1,32.53,6,1.42,1,2.84,30.16,32.53,29.94,1998.44,1977.79,16.774,18.337,38.65,42.25,400.1,1501,2,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,1.5E-01,7.6E-03,3.7E-01,30,18.3,6.6E-03,3.6E-02,8.9E-02,30,400,1.0E-02,2.5E-03,9.6E-03,40,12,2.3E-01,1.9E+00,-1.5E-01,OK
35,10:59:53,y/m,9,sun,5,5994.0,0,11.2,0.0325,1.34E+03,0.996,2.97,32.06,6,1.42,1,2.84,30.17,32.06,29.94,1999.89,1980.20,16.951,18.418,39.04,42.42,400.1,1250,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,2.2E-01,1.1E-02,6.0E-01,30,18.4,6.7E-03,3.6E-02,8.7E-02,30,400,1.7E-02,4.4E-03,-1.3E-01,40,11.3,2.6E-01,2.3E+00,4.3E-01,OK
36,11:01:26,y/m,9,sun,5,6087.0,0,10.8,0.0321,1.36E+03,0.936,2.83,31.56,6,1.42,1,2.84,30.15,31.56,29.94,1999.90,1980.93,17.110,18.487,39.46,42.64,400.1,1000,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,1.3E-01,6.6E-03,9.8E-01,30,18.5,6.5E-03,3.5E-02,8.6E-02,30,400,1.3E-02,3.2E-03,-8.3E-02,40,10.6,9.8E-02,9.2E-01,-1.1E-01,OK
37,11:02:57,y/m,9,sun,5,6178.0,0,10.1,0.0317,1.39E+03,0.887,2.71,31.15,6,1.42,1,2.84,30.13,31.15,29.95,1999.71,1981.90,17.259,18.564,39.84,42.86,400.1,800,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,2.7E-01,1.4E-02,9.2E-01,30,18.6,6.1E-03,3.3E-02,7.8E-02,30,400,1.1E-02,2.7E-03,-1.8E-02,40,10.2,2.4E-01,2.4E+00,4.9E-01,OK
38,11:04:28,y/m,9,sun,5,6269.0,0,8.74,0.0314,1.46E+03,0.822,2.54,30.50,6,1.42,1,2.84,30.07,30.50,29.94,1999.14,1983.59,17.400,18.609,40.31,43.11,400.0,501,1,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,1.9E-01,9.8E-03,5.2E-01,30,18.6,6.8E-03,3.7E-02,8.8E-02,30,400,1.8E-02,4.5E-03,-1.5E-01,40,9.08,2.4E-01,2.7E+00,3.2E-01,OK
39,11:05:59,y/m,9,sun,5,6360.5,0,7.69,0.0309,1.51E+03,0.773,2.42,30.06,6,1.42,1,2.84,30.05,30.06,29.95,1999.19,1985.36,17.554,18.691,40.71,43.35,400.1,299,2,99.09,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.5E-01,7.6E-03,9.9E-01,30,18.7,7.1E-03,3.8E-02,9.5E-02,30,400,9.9E-03,2.5E-03,6.3E-02,40,7.73,1.8E-01,2.4E+00,-1.3E-01,OK
40,11:07:30,y/m,9,sun,5,6451.5,0,6.33,0.0305,1.58E+03,0.741,2.36,29.84,6,1.42,1,2.84,30.02,29.84,29.94,1998.86,1987.16,17.709,18.800,41.13,43.67,400.1,200,1,99.08,-6.26,-0.0878,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,6.1E-02,3.1E-03,1.2E-01,30,18.8,6.2E-03,3.3E-02,8.3E-02,30,400,1.7E-02,4.4E-03,-5.0E-02,40,6.4,8.0E-02,1.2E+00,-6.5E-01,OK
41,11:09:32,y/m,9,sun,5,6573.0,0,4.52,0.0291,1.67E+03,0.687,2.29,29.61,6,1.42,1,2.84,29.99,29.61,29.93,1998.59,1989.77,17.933,18.943,41.73,44.08,400.0,100,2,99.09,-7.63,-0.113,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.5E-01,7.8E-03,-1.2E+00,30,18.9,6.1E-03,3.2E-02,8.1E-02,30,400,1.9E-02,4.6E-03,-9.1E-02,40,4.04,5.9E-01,1.5E+01,4.9E+00,OK
42,11:11:35,y/m,9,sun,5,6696.5,0,2.01,0.0287,1.81E+03,0.663,2.24,29.51,6,1.42,1,2.84,30.00,29.51,29.94,2000.14,1995.15,18.182,19.157,42.30,44.57,400.0,49,1,99.09,-7.31,-0.11,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,2e+03,1.4E-01,7.2E-03,1.2E+00,30,19.1,7.9E-03,4.1E-02,1.0E-01,30,400,1.0E-02,2.6E-03,-4.7E-02,40,2.1,1.1E-01,5.2E+00,-9.1E-01,OK
