Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
30,13:04:32,504,shade,old,5,6028.0,0,9.48,0.0412,1.52E+03,1.23,2.89,31.50,6,1.42,1,2.84,30.62,31.50,30.12,1999.31,1981.44,15.854,17.667,35.51,39.57,400.0,1499,47,98.89,-44.8,0.03,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,13:06:23,504,shade,old,5,6147.0,0,10.2,0.0423,1.5E+03,1.29,2.97,31.81,6,1.42,1,2.84,30.66,31.81,30.13,1999.24,1980.16,15.850,17.755,35.43,39.69,400.1,2001,77,98.89,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,13:07:54,504,shade,old,5,6238.0,0,9.82,0.0409,1.51E+03,1.25,2.96,31.77,6,1.42,1,2.84,30.68,31.77,30.13,1999.29,1980.85,15.865,17.706,35.41,39.52,400.0,1750,124,98.88,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,13:09:25,504,shade,old,5,6329.0,0,9.63,0.0389,1.5E+03,1.18,2.94,31.65,6,1.42,1,2.84,30.68,31.65,30.12,1999.78,1981.84,15.899,17.633,35.49,39.36,400.0,1501,49,98.87,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,13:10:56,504,shade,old,5,6420.0,0,9.19,0.0371,1.5E+03,1.11,2.9,31.48,6,1.42,1,2.84,30.66,31.48,30.12,1999.73,1982.64,15.917,17.553,35.57,39.23,400.0,1250,14,98.87,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,13:12:27,504,shade,old,5,6511.0,0,8.64,0.0352,1.5E+03,1.04,2.85,31.27,6,1.42,1,2.84,30.62,31.27,30.12,1999.64,1983.60,15.938,17.464,35.69,39.10,400.0,1001,13,98.87,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,13:13:58,504,shade,old,5,6602.0,0,7.99,0.0338,1.52E+03,0.982,2.82,31.09,6,1.42,1,2.84,30.59,31.09,30.13,1999.64,1984.73,15.947,17.394,35.77,39.02,400.0,800,15,98.87,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,13:15:29,504,shade,old,5,6693.0,0,6.95,0.0321,1.56E+03,0.915,2.76,30.85,6,1.42,1,2.84,30.56,30.85,30.12,1999.94,1986.80,15.946,17.294,35.84,38.87,400.0,500,18,98.86,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,13:17:00,504,shade,old,5,6784.0,0,5.94,0.0308,1.6E+03,0.866,2.72,30.67,6,1.42,1,2.84,30.52,30.67,30.13,1999.80,1988.30,15.954,17.230,35.93,38.80,400.0,301,20,98.86,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,13:18:31,504,shade,old,5,6875.5,0,5.25,0.0299,1.62E+03,0.835,2.7,30.57,6,1.42,1,2.84,30.50,30.57,30.13,1999.73,1989.36,15.963,17.194,35.99,38.77,400.0,200,28,98.86,-44.8,0.03,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,13:20:31,504,shade,old,5,6995.5,0,4.68,0.0295,1.65E+03,0.819,2.68,30.50,6,1.42,1,2.84,30.49,30.50,30.13,1999.87,1990.41,15.984,17.191,36.05,38.77,400.0,101,161,98.85,-46,0.0421,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,13:22:34,504,shade,old,5,7118.0,0,3.16,0.0293,1.74E+03,0.81,2.68,30.49,6,1.42,1,2.84,30.51,30.49,30.13,2000.04,1992.89,16.021,17.215,36.11,38.80,400.1,49,128,98.84,-46.1,0.0448,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,13:24:33,504,shade,old,5,7237.0,0,0.896,0.0292,1.86E+03,0.809,2.68,30.50,6,1.42,1,2.84,30.52,30.50,30.13,1999.96,1996.19,16.064,17.256,36.16,38.84,400.0,11,300,98.83,-46.2,0.0451,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
