Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
1,10:56:13,old,_epi,9,shade,2,265.5,0,1.99,0.106,351,2.51,2.36,30.56,6,1.42,1,2.84,29.8,30.56,29.95,400.95,396.47,16.911,20.596,39.83,48.51,400,1499,43,99.23,5.36,-0.17,1,-0.22,2.74,1,0,0.16,111115,30,396,3.70E-02,9.20E-03,4.30E-01,30,20.6,4.10E-03,2.00E-02,2.10E-02,30,400,1.50E-02,3.70E-03,8.20E-02,40,2.14,2.30E-02,1.10E+00,6.70E-03,OK
2,11:00:15,old,_epi,9,shade,2,536,0,-0.164,0.104,98.1,2.46,2.36,30.6,6,1.42,1,2.84,29.82,30.6,29.95,99.49,99.37,17.025,20.635,40.07,48.56,400,1499,47,99.23,4.28,-0.176,0.8,-0.22,2.74,1,0,0.16,111115,30,99.4,4.70E-02,4.70E-02,-4.60E-01,30,20.6,3.70E-03,1.80E-02,-3.10E-02,30,400,1.90E-02,4.70E-03,-1.50E-01,40,-0.548,3.90E-01,7.00E+01,3.30E+00,OK
3,11:02:25,old,_epi,9,shade,2,666,0,-0.471,0.102,56.9,2.44,2.37,30.64,6,1.42,1,2.84,29.83,30.64,29.95,50.96,51.47,17.079,20.665,40.17,48.61,400,1500,48,99.23,3.81,-0.182,0.8,-0.22,2.74,1,0,0.16,111115,30,51.5,1.70E-02,3.30E-02,-1.10E-01,30,20.7,4.80E-03,2.30E-02,-4.80E-02,30,400,1.30E-02,3.20E-03,-4.10E-02,40,-0.614,1.80E-01,3.00E+01,1.40E+00,OK
4,11:04:35,old,_epi,9,shade,2,796,0,-0.0325,0.101,95.5,2.43,2.38,30.7,6,1.42,1,2.84,29.84,30.7,29.95,99.17,98.86,17.116,20.686,40.23,48.62,400,1500,43,99.23,4.26,-0.183,0.8,-0.22,2.74,1,0,0.16,111115,30,98.9,2.40E-02,2.40E-02,-1.40E-01,30,20.7,4.90E-03,2.40E-02,-5.70E-02,30,400,2.50E-02,6.20E-03,-2.80E-01,40,0.0883,1.80E-01,2.10E+02,-1.50E+00,OK
5,11:06:44,old,_epi,9,shade,2,924.5,0,0.394,0.101,137,2.42,2.38,30.7,6,1.42,1,2.84,29.84,30.7,29.95,150.64,149.51,17.146,20.705,40.3,48.66,400,1500,21,99.23,4.63,-0.176,0.8,-0.22,2.74,1,0,0.16,111115,30,149,1.50E-02,1.00E-02,-7.00E-03,30,20.7,4.30E-03,2.10E-02,-4.80E-02,30,400,1.30E-02,3.40E-03,-1.30E-01,40,0.472,1.30E-01,2.80E+01,-1.10E+00,OK
6,11:08:54,old,_epi,9,shade,2,1055,0,1.06,0.101,222,2.41,2.38,30.69,6,1.42,1,2.84,29.85,30.69,29.95,250.99,248.51,17.159,20.698,40.32,48.64,400,1500,26,99.24,5.08,-0.174,0.8,-0.22,2.74,1,0,0.16,111115,30,248,4.20E-02,1.70E-02,5.00E-01,30,20.7,4.50E-03,2.20E-02,-3.70E-02,30,400,2.00E-02,5.00E-03,-1.40E-01,40,1.18,1.50E-01,1.30E+01,-1.30E+00,OK
7,11:11:04,old,_epi,9,shade,2,1185,0,1.65,0.0999,307,2.4,2.38,30.71,6,1.42,1,2.84,29.85,30.71,29.95,350.32,346.61,17.174,20.694,40.35,48.62,400,1500,49,99.24,5.33,-0.177,1,-0.22,2.74,1,0,0.16,111115,30,347,2.50E-02,7.20E-03,1.50E-01,30,20.7,5.00E-03,2.40E-02,-5.10E-02,30,400,2.50E-02,6.10E-03,-2.20E-01,40,1.73,6.10E-02,3.50E+00,-5.40E-01,OK
8,11:13:14,old,_epi,9,shade,2,1315,0,2.67,0.099,480,2.38,2.39,30.75,6,1.42,1,2.84,29.86,30.75,29.95,550.53,544.58,17.2,20.702,40.39,48.61,400,1499,43,99.24,5.35,-0.174,1,-0.22,2.74,1,0,0.16,111115,30,544,4.70E-02,8.60E-03,2.60E-01,30,20.7,4.10E-03,2.00E-02,-4.20E-02,30,400,1.90E-02,4.70E-03,-2.10E-01,40,2.76,5.20E-02,1.90E+00,-4.50E-01,OK
9,11:15:24,old,_epi,9,shade,2,1445,0,3.42,0.0986,658,2.37,2.39,30.74,6,1.42,1,2.84,29.85,30.74,29.95,750.32,742.55,17.211,20.696,40.43,48.62,400.1,1499,39,99.24,4.74,-0.168,0.5,-0.22,2.74,1,0,0.16,111115,30,742,1.20E-01,1.60E-02,1.20E+00,30,20.7,4.50E-03,2.20E-02,-5.10E-02,30,400,1.80E-02,4.40E-03,1.30E-01,40,3.29,2.10E-01,6.40E+00,1.60E+00,OK
10,11:17:38,old,_epi,9,shade,2,1579,0,4.24,0.0979,882,2.36,2.39,30.74,6,1.42,1,2.84,29.86,30.74,29.95,1000.35,990.48,17.227,20.691,40.45,48.58,400,1499,39,99.24,3.1,-0.17,0.8,-0.22,2.74,1,0,0.16,111115,30,990,2.70E-02,2.70E-03,1.00E-01,30,20.7,4.00E-03,1.90E-02,-3.50E-02,30,400,3.70E-02,9.10E-03,-2.00E-01,40,3.69,6.10E-01,1.60E+01,5.10E+00,OK
