x_Obs_,x_HHMMSS_,x_treeNo__,x_sunOrShade_,x_leafAge_,x_leafNo__,x_FTime_,x_EBal__,x_Photo_,x_Cond_,x_Ci_,x_Trmmol_,x_VpdL_,x_CTleaf_,x_Area_,x_BLC_1_,x_StmRat_,x_BLCond_,x_Tair_,x_Tleaf_,x_TBlk_,x_CO2R_,x_CO2S_,x_H2OR_,x_H2OS_,x_RH_R_,x_RH_S_,x_Flow_,x_PARi_,x_PARo_,x_Press_,x_CsMch_,x_HsMch_,x_StableF_,x_BLCslope_,x_BLCoffst_,x_f_parin_,x_f_parout_,x_alphaK_,x_Status_,column_for_Exclude_pts
82,"09:52:26","118","sun","mature","6",12663.0,0,20.1,0.106,1.59E+03,2.01,1.9,29.87,6,1.25,1,2.5,29.63,29.87,29.55,1999.57,1963.42,20.563,23.516,48.90,55.92,399.1,1499,5,99.21,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
83,"09:53:27","118","sun","mature","6",12724.0,0,21.5,0.104,1.56E+03,2.07,1.98,30.26,6,1.25,1,2.5,29.64,30.26,29.55,1999.61,1961.25,20.554,23.589,48.85,56.06,399.1,1999,7,99.2,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
84,"09:54:32","118","sun","mature","6",12789.0,0,20.1,0.0908,1.54E+03,1.78,1.94,29.92,6,1.25,1,2.5,29.63,29.92,29.55,1999.94,1964.55,20.549,23.157,48.87,55.08,399.1,1501,7,99.2,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
85,"09:55:33","118","sun","mature","6",12850.0,0,18.8,0.0815,1.53E+03,1.58,1.92,29.71,6,1.25,1,2.5,29.62,29.71,29.55,1999.81,1966.83,20.541,22.863,48.89,54.42,399.1,1251,8,99.2,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
86,"09:56:40","118","sun","mature","6",12917.0,0,17.6,0.0722,1.51E+03,1.39,1.9,29.49,6,1.25,1,2.5,29.59,29.49,29.55,1999.66,1969.10,20.537,22.577,48.94,53.81,399.1,1000,14,99.19,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
87,"09:57:42","118","sun","mature","6",12979.0,0,16.5,0.0656,1.51E+03,1.25,1.88,29.31,6,1.25,1,2.5,29.58,29.31,29.55,1999.77,1971.30,20.538,22.374,48.99,53.37,399.1,800,13,99.19,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
88,"09:58:43","118","sun","mature","6",13040.0,0,14.4,0.0592,1.52E+03,1.1,1.84,29.06,6,1.25,1,2.5,29.57,29.06,29.55,1999.80,1974.90,20.543,22.167,49.03,52.91,399.1,501,13,99.19,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
89,"09:59:44","118","sun","mature","6",13101.5,0,12.3,0.0537,1.55E+03,0.992,1.81,28.89,6,1.25,1,2.5,29.55,28.89,29.55,1999.77,1978.39,20.555,22.014,49.10,52.59,399.1,301,13,99.19,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
90,"10:00:45","118","sun","mature","6",13162.5,0,10.4,0.0496,1.59E+03,0.911,1.8,28.80,6,1.25,1,2.5,29.55,28.80,29.55,2000.12,1981.73,20.577,21.917,49.17,52.37,399.2,199,18,99.18,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
91,"10:01:46","118","sun","mature","6",13223.5,0,6.78,0.0458,1.69E+03,0.839,1.79,28.72,6,1.25,1,2.5,29.54,28.72,29.55,1999.84,1987.15,20.597,21.831,49.23,52.18,399.1,100,10,99.18,-16.7,0.218,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
92,"10:03:15","118","sun","mature","6",13312.0,0,3.95,0.0418,1.78E+03,0.765,1.79,28.68,6,1.25,1,2.5,29.54,28.68,29.55,1999.89,1991.66,20.619,21.745,49.30,51.99,399.1,50,11,99.18,-16.5,0.23,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
93,"10:04:44","118","sun","mature","6",13401.0,0,1.37,0.0382,1.88E+03,0.702,1.8,28.67,6,1.25,1,2.5,29.53,28.67,29.55,1999.90,1995.73,20.635,21.667,49.35,51.82,399.2,10,5,99.18,-16.5,0.233,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
94,"10:06:13","118","sun","mature","6",13490.0,0,0.551,0.0351,1.91E+03,0.643,1.79,28.61,6,1.25,1,2.5,29.53,28.61,29.55,2000.03,1997.27,20.664,21.609,49.41,51.67,399.2,0,8,99.18,-16.5,0.232,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
