Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_CO2R_,MN_CO2R_,SD_CO2R_,CV_CO2R_,SLP_CO2R_,column_for_Exclude_pts
17,12:43:12,y/m,9,shade,4,6786.5,0,0.28,0.0713,89.5,1.56,2.14,30.36,6,1.42,1,2.84,29.92,30.36,29.95,99.89,99.24,20.003,22.283,46.71,52.04,400.1,1500,34,99.05,4.44,-0.206,0.8,-0.22,2.74,1,0,0.16,111115,30,99.3,7.70E-02,7.80E-02,-7.70E-01,30,22.3,6.50E-03,2.90E-02,7.30E-02,30,400,1.80E-02,4.50E-03,-1.40E-01,40,-0.0685,3.40E-01,4.90E+02,2.90E+00,OK
18,12:45:21,y/m,9,shade,4,6915.5,0,-0.584,0.0748,62.2,1.66,2.18,30.62,6,1.42,1,2.84,29.93,30.62,29.95,50.71,51.46,20.092,22.529,46.89,52.58,400.1,1499,42,99.05,3.98,-0.212,0.8,-0.22,2.74,1,0,0.16,111115,30,51.5,4.00E-02,7.80E-02,-3.00E-01,30,22.5,9.20E-03,4.10E-02,1.20E-01,30,400,1.40E-02,3.40E-03,-6.40E-03,40,-0.805,1.80E-01,2.20E+01,1.60E+00,OK
19,12:47:30,y/m,9,shade,4,7044.5,0,0.374,0.0829,88,1.81,2.15,30.62,6,1.42,1,2.84,29.94,30.62,29.95,99.64,98.81,20.176,22.831,47.07,53.27,400,1499,45,99.05,4.45,-0.22,0.8,-0.22,2.74,1,0,0.16,111115,30,98.8,4.40E-02,4.40E-02,2.20E-01,30,22.8,1.00E-02,4.60E-02,1.40E-01,30,400,1.60E-02,4.10E-03,-1.90E-01,40,0.58,1.50E-01,2.60E+01,-1.40E+00,OK
20,12:49:40,y/m,9,shade,4,7175,0,1.55,0.0928,116,1.99,2.11,30.58,6,1.42,1,2.84,29.93,30.58,29.95,150.54,147.78,20.239,23.147,47.23,54.02,400.1,1500,45,99.05,4.88,-0.233,0.8,-0.22,2.74,1,0,0.16,111115,30,148,2.90E-02,1.90E-02,2.10E-01,30,23.1,8.70E-03,3.80E-02,1.10E-01,30,400,3.40E-02,8.60E-03,-3.20E-01,40,1.66,1.50E-01,9.10E+00,-1.20E+00,OK
21,12:51:50,y/m,9,shade,4,7305,0,3.89,0.103,175,2.15,2.06,30.49,6,1.42,1,2.84,29.91,30.49,29.95,250.96,244.35,20.28,23.426,47.39,54.74,400.1,1500,46,99.05,5.4,-0.236,0.8,-0.22,2.74,1,0,0.16,111115,30,244,3.10E-02,1.30E-02,-2.70E-01,30,23.4,7.70E-03,3.30E-02,9.10E-02,30,400,2.30E-02,5.80E-03,-2.50E-01,40,3.95,1.30E-01,3.40E+00,-1.10E+00,OK
22,12:54:02,y/m,9,shade,4,7436.5,0,6.11,0.111,239,2.26,2.03,30.46,6,1.42,1,2.84,29.92,30.46,29.95,350.77,340.45,20.322,23.635,47.48,55.22,400,1500,46,99.06,5.61,-0.241,1,-0.22,2.74,1,0,0.16,111115,30,340,3.80E-02,1.10E-02,-4.80E-01,30,23.6,4.80E-03,2.00E-02,3.80E-02,30,400,2.00E-02,5.00E-03,-2.30E-01,40,6.11,7.20E-02,1.20E+00,-4.00E-01,OK
23,12:56:11,y/m,9,shade,4,7565.5,0,9.4,0.112,381,2.29,2.03,30.46,6,1.42,1,2.84,29.92,30.46,29.95,551.16,535.22,20.355,23.702,47.55,55.37,400.1,1500,45,99.06,5.8,-0.235,1,-0.22,2.74,1,0,0.16,111115,30,535,5.30E-02,1.00E-02,-2.60E-01,30,23.7,2.20E-03,9.20E-03,1.90E-02,30,400,2.10E-02,5.20E-03,-1.80E-01,40,9.44,2.90E-02,3.10E-01,-2.70E-01,OK
24,12:58:21,y/m,9,shade,4,7696,0,11.6,0.105,526,2.16,2.05,30.5,6,1.42,1,2.84,29.93,30.5,29.95,750.35,730.55,20.4,23.569,47.63,55.02,400.1,1499,40,99.06,5.1,-0.232,0.8,-0.22,2.74,1,0,0.16,111115,30,731,4.70E-02,6.50E-03,-5.60E-02,30,23.6,7.00E-03,3.00E-02,-8.90E-02,30,400,1.20E-02,3.00E-03,-9.00E-02,40,11.3,2.70E-01,2.40E+00,2.40E+00,OK
25,13:00:37,y/m,9,shade,4,7832,0,12.9,0.0906,714,1.92,2.09,30.55,6,1.42,1,2.84,29.94,30.55,29.95,1000.16,977.95,20.453,23.265,47.73,54.29,400.1,1499,38,99.06,3.57,-0.226,0.8,-0.22,2.74,1,0,0.16,111115,30,978,8.50E-02,8.70E-03,2.80E-01,30,23.3,1.30E-02,5.40E-02,-1.70E-01,30,400,1.70E-02,4.30E-03,1.00E-01,40,12.5,5.90E-01,4.70E+00,5.00E+00,OK
26,13:02:46,y/m,9,shade,4,7960.5,0,13.9,0.077,893,1.67,2.14,30.61,6,1.42,1,2.84,29.94,30.61,29.95,1249.66,1225.77,20.497,22.95,47.81,53.53,400.1,1499,37,99.05,1.39,-0.212,0.8,-0.22,2.74,1,0,0.16,111115,30,1.23E+03,4.20E-02,3.40E-03,1.60E-01,30,23,1.20E-02,5.40E-02,-1.70E-01,30,400,1.90E-02,4.70E-03,-1.20E-01,40,13.1,7.90E-01,6.00E+00,6.80E+00,OK
