Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
77,14:49:17,old,11,shade_1,9,20942.5,0,-0.517,0.0131,158,0.413,3.02,31.83,6,1.42,1,2.84,30.23,31.83,29.95,100.88,101.59,16.691,17.299,38.23,39.62,400.1,2001,4,98.87,6.41,-0.0287,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,102,4.5E-02,4.4E-02,-3.8E-01,30,17.3,2.3E-03,1.3E-02,1.9E-02,30,400,1.6E-02,3.9E-03,-1.4E-01,40,-1.36,7.5E-01,5.5E+01,6.7E+00,OK
78,14:51:14,old,11,shade_1,9,21059.5,0,-0.65,0.0134,124,0.417,2.99,31.73,6,1.42,1,2.84,30.20,31.73,29.93,49.80,50.74,16.713,17.328,38.35,39.76,400.1,2001,4,98.86,5.71,-0.0317,0.8,-0.22,2.74,1.00,0.00,0.16,111135,30,50.8,4.2E-02,8.3E-02,-3.6E-01,30,17.3,2.4E-03,1.4E-02,8.3E-03,30,400,1.3E-02,3.4E-03,-1.5E-01,40,-0.884,1.8E-01,2.0E+01,1.7E+00,OK
79,14:53:12,old,11,shade_1,9,21178.0,0,-0.315,0.0139,131,0.433,2.99,31.76,6,1.42,1,2.84,30.20,31.76,29.94,99.79,100.20,16.747,17.385,38.41,39.88,400.1,2001,4,98.86,6.26,-0.0351,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,100,4.0E-02,3.9E-02,-1.5E-01,30,17.4,3.4E-03,2.0E-02,3.9E-02,30,400,2.1E-02,5.3E-03,-1.1E-01,40,-0.0443,2.5E-01,5.6E+02,-2.2E+00,OK
80,14:55:09,old,11,shade_1,9,21294.5,0,-0.188,0.0146,163,0.456,2.99,31.79,6,1.42,1,2.84,30.22,31.79,29.95,150.14,150.32,16.774,17.445,38.44,39.98,400.1,1999,4,98.86,6.9,-0.0282,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,150,6.3E-02,4.2E-02,5.6E-01,30,17.4,3.0E-03,1.7E-02,3.6E-02,30,400,2.2E-02,5.5E-03,-9.3E-02,40,0.143,3.1E-01,2.2E+02,-2.7E+00,OK
81,14:57:10,old,11,shade_1,9,21415.5,0,0.478,0.0155,190,0.481,2.99,31.79,6,1.42,1,2.84,30.22,31.79,29.94,251.34,250.44,16.814,17.524,38.54,40.16,400.1,2000,4,98.86,7.66,-0.0303,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,250,3.6E-02,1.4E-02,3.0E-01,30,17.5,4.0E-03,2.3E-02,5.1E-02,30,400,2.8E-02,6.9E-03,-2.1E-01,40,0.706,2.4E-01,3.5E+01,-2.2E+00,OK
82,14:59:08,old,11,shade_1,9,21534.0,0,0.905,0.0161,243,0.503,3,31.86,6,1.42,1,2.84,30.24,31.86,29.95,350.23,348.61,16.846,17.586,38.55,40.24,400.1,2000,4,98.86,8.17,-0.0364,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,349,5.6E-02,1.6E-02,6.0E-01,30,17.6,3.5E-03,2.0E-02,4.1E-02,30,400,1.3E-02,3.3E-03,1.7E-02,40,1.17,2.3E-01,1.9E+01,-2.0E+00,OK
83,15:01:06,old,11,shade_1,9,21651.5,0,2.13,0.0175,329,0.541,2.98,31.83,6,1.42,1,2.84,30.23,31.83,29.94,550.60,546.96,16.878,17.676,38.64,40.47,400.1,1999,4,98.86,8.71,-0.0333,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,547,3.9E-02,7.1E-03,-2.4E-02,30,17.7,4.8E-03,2.7E-02,5.2E-02,30,400,2.3E-02,5.7E-03,-1.2E-01,40,2.23,1.7E-01,7.6E+00,-1.3E+00,OK
84,15:03:05,old,11,shade_1,9,21771.0,0,3.36,0.0188,428,0.585,2.99,31.90,6,1.42,1,2.84,30.25,31.90,29.94,749.94,744.25,16.908,17.769,38.68,40.65,400.1,1999,5,98.86,8.66,-0.0404,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,744,6.0E-02,8.0E-03,-2.7E-01,30,17.8,2.9E-03,1.6E-02,3.4E-02,30,400,1.4E-02,3.6E-03,3.2E-03,40,3.15,1.0E-01,3.2E+00,8.2E-01,OK
85,15:05:22,old,11,shade_1,9,21907.5,0,5.04,0.021,566,0.653,2.99,31.96,6,1.42,1,2.84,30.24,31.96,29.94,1000.32,991.78,16.945,17.907,38.77,40.97,400.0,2000,4,98.85,7.54,-0.0377,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,992,1.0E-01,1.0E-02,-1.0E+00,30,17.9,6.3E-03,3.5E-02,7.5E-02,30,400,2.6E-02,6.6E-03,-2.5E-01,40,4.5,5.1E-01,1.1E+01,4.4E+00,OK
86,15:07:21,old,11,shade_1,9,22026.5,0,6.69,0.0234,728,0.722,2.98,31.95,6,1.42,1,2.84,30.24,31.95,29.94,1250.24,1238.86,16.972,18.036,38.85,41.28,400.0,2001,4,98.85,5.74,-0.0391,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.24e+03,1.2E-01,9.3E-03,-5.1E-01,30,18,5.9E-03,3.3E-02,7.6E-02,30,400,3.7E-02,9.3E-03,-3.2E-01,40,6.02,6.7E-01,1.1E+01,6.1E+00,OK
87,15:09:26,old,11,shade_1,9,22151.5,0,8.16,0.026,920,0.799,2.96,31.95,6,1.42,1,2.84,30.27,31.95,29.94,1500.26,1486.25,16.997,18.173,38.83,41.52,400.1,2000,5,98.84,3.77,-0.0444,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.49e+03,2.7E-01,1.8E-02,-2.5E-01,30,18.2,4.3E-03,2.4E-02,4.3E-02,30,400,1.5E-02,3.8E-03,-5.6E-02,40,7.49,8.3E-01,1.1E+01,6.5E+00,OK
88,15:11:30,old,11,shade_1,9,22276.0,0,9.55,0.0284,1.12E+03,0.864,2.93,31.87,6,1.42,1,2.84,30.25,31.87,29.94,1750.14,1733.57,17.020,18.292,38.93,41.84,400.1,2001,4,98.84,0.456,-0.0443,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.73e+03,1.2E-01,6.7E-03,-1.1E+00,30,18.3,6.5E-03,3.5E-02,8.0E-02,30,400,1.9E-02,4.8E-03,-2.1E-01,40,8.37,1.1E+00,1.3E+01,9.8E+00,OK
89,15:13:44,old,11,shade_1,9,22409.5,0,10.9,0.0305,1.32E+03,0.917,2.91,31.83,6,1.42,1,2.84,30.25,31.83,29.95,2000.35,1981.32,17.062,18.412,39.03,42.11,400.1,1999,4,98.83,-3.23,-0.0497,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,2.0E-01,9.9E-03,-6.4E-01,30,18.4,4.1E-03,2.2E-02,3.5E-02,30,400,1.0E-02,2.5E-03,-8.9E-03,40,9.39,1.3E+00,1.4E+01,1.2E+01,OK
90,15:15:47,old,11,shade_1,9,22532.5,0,11.4,0.032,1.56E+03,0.96,2.9,31.81,6,1.42,1,2.84,30.27,31.81,29.94,2250.50,2230.18,17.094,18.506,39.04,42.27,400.1,1999,4,98.83,-7.18,-0.0463,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,2.23e+03,1.3E-01,5.9E-03,-5.9E-03,30,18.5,3.1E-03,1.7E-02,3.6E-02,30,400,2.8E-02,7.0E-03,-2.0E-01,40,9.92,1.5E+00,1.5E+01,1.3E+01,OK
