Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
63,14:06:03,mature,9,sun,10,10892.5,0,-0.586,0.0257,84.2,0.715,2.67,32.57,6,1.42,1,2.84,30.39,32.57,29.94,49.71,50.53,21.817,22.865,49.52,51.90,400.0,1499,68,98.86,4.45,-0.214,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,50.5,1.8E-02,3.5E-02,5.3E-02,30,22.9,3.0E-03,1.3E-02,2.5E-02,30,400,1.9E-02,4.6E-03,-2.1E-01,40,-0.735,1.7E-01,2.3E+01,1.4E+00,OK
64,14:08:12,mature,9,sun,10,11022.0,0,-0.179,0.0259,106,0.728,2.71,32.72,6,1.42,1,2.84,30.43,32.72,29.94,99.44,99.59,21.855,22.922,49.49,51.91,400.0,1501,15,98.86,4.99,-0.217,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,99.6,1.9E-02,1.9E-02,-1.7E-01,30,22.9,2.9E-03,1.3E-02,-9.1E-03,30,400,1.1E-02,2.8E-03,-2.2E-02,40,-0.0411,1.7E-01,4.2E+02,-1.4E+00,OK
65,14:10:21,mature,9,sun,10,11150.5,0,0.187,0.0263,132,0.735,2.69,32.65,6,1.42,1,2.84,30.39,32.65,29.94,149.87,149.42,21.861,22.938,49.60,52.05,400.1,1499,41,98.86,5.36,-0.213,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,149,2.8E-02,1.9E-02,2.1E-01,30,22.9,2.8E-03,1.2E-02,1.7E-02,30,400,1.9E-02,4.8E-03,-7.0E-02,40,0.308,8.9E-02,2.9E+01,-7.4E-01,OK
66,14:12:30,mature,9,sun,10,11280.0,0,0.911,0.0268,184,0.755,2.71,32.76,6,1.42,1,2.84,30.42,32.76,29.94,250.37,248.72,21.953,23.059,49.71,52.22,400.0,1500,39,98.85,5.91,-0.219,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,249,3.7E-02,1.5E-02,5.8E-02,30,23.1,5.0E-03,2.2E-02,6.3E-02,30,400,2.7E-02,6.8E-03,-2.9E-01,40,1.14,2.0E-01,1.7E+01,-1.7E+00,OK
67,14:14:39,mature,9,sun,10,11408.5,0,1.59,0.0274,241,0.777,2.73,32.93,6,1.42,1,2.84,30.48,32.93,29.94,350.90,348.11,22.154,23.292,50.01,52.58,400.1,1499,23,98.85,6.51,-0.22,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,348,5.9E-02,1.7E-02,-1.9E-01,30,23.3,9.0E-03,3.9E-02,1.2E-01,30,400,1.9E-02,4.8E-03,-7.4E-02,40,1.78,2.2E-01,1.2E+01,-1.9E+00,OK
68,14:16:48,mature,9,sun,10,11537.5,0,3.24,0.0277,336,0.782,2.71,32.97,6,1.42,1,2.84,30.50,32.97,29.94,550.33,544.84,22.442,23.587,50.59,53.17,400.0,1500,86,98.84,6.51,-0.225,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,545,6.3E-02,1.1E-02,1.5E-01,30,23.6,1.3E-02,5.5E-02,1.7E-01,30,400,1.6E-02,4.1E-03,-9.6E-02,40,3.21,1.2E-01,3.6E+00,7.3E-01,OK
69,14:18:57,mature,9,sun,10,11667.0,0,4.56,0.0283,455,0.796,2.7,33.04,6,1.42,1,2.84,30.53,33.04,29.94,750.29,742.56,22.736,23.902,51.16,53.79,400.0,1500,284,98.83,6.28,-0.236,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,743,8.1E-02,1.1E-02,-8.0E-01,30,23.9,1.2E-02,4.9E-02,1.5E-01,30,400,3.0E-02,7.4E-03,-2.9E-01,40,4.42,1.5E-01,3.4E+00,1.3E+00,OK
70,14:21:14,mature,9,sun,10,11804.0,0,6.2,0.0284,601,0.803,2.71,33.18,6,1.42,1,2.84,30.58,33.18,29.93,1000.02,989.54,23.011,24.186,51.64,54.28,400.1,1500,17,98.82,4.96,-0.243,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,990,6.6E-02,6.7E-03,9.2E-02,30,24.2,6.6E-03,2.7E-02,7.3E-02,30,400,2.2E-02,5.4E-03,-6.5E-02,40,5.71,4.2E-01,7.4E+00,3.6E+00,OK
