Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
1,15:56:03,young,9,shade,10,41.0,0,1.53,0.041,315,1.56,3.67,33.14,6,1.42,1,2.84,30.52,33.14,29.94,400.26,397.04,12.105,14.405,27.17,32.34,400.1,1999,9,98.57,8.29,-0.0494,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,397,1.0E-01,2.6E-02,9.5E-02,30,14.4,3.0E-03,2.1E-02,3.4E-02,30,400,2.0E-02,5.0E-03,-2.6E-02,40,1.38,8.4E-02,6.1E+00,2.9E-01,OK
2,15:58:22,young,9,shade,10,210.5,0,-0.393,0.0419,110,1.54,3.54,32.69,6,1.42,1,2.84,30.52,32.69,29.94,100.76,101.11,12.133,14.404,27.24,32.34,400.1,2000,9,98.56,6.26,-0.0483,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,101,4.0E-02,4.0E-02,-4.9E-01,30,14.4,2.9E-03,2.0E-02,-2.9E-02,30,400,2.7E-02,6.8E-03,-3.3E-01,40,-1.1,6.6E-01,6.0E+01,5.8E+00,OK
3,16:00:21,young,9,shade,10,330.0,0,-0.699,0.0439,70.1,1.57,3.48,32.46,6,1.42,1,2.84,30.53,32.46,29.94,46.82,47.76,12.136,14.463,27.23,32.45,400.1,2000,9,98.56,5.61,-0.0548,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,47.8,3.6E-02,7.6E-02,6.5E-02,30,14.5,4.2E-03,2.9E-02,5.2E-02,30,400,7.7E-03,1.9E-03,-5.7E-02,40,-0.948,2.3E-01,2.4E+01,1.9E+00,OK
4,16:02:20,young,9,shade,10,448.5,0,-0.316,0.0461,105,1.65,3.47,32.47,6,1.42,1,2.84,30.53,32.47,29.94,99.40,99.63,12.149,14.585,27.27,32.73,400.1,2000,9,98.55,6.16,-0.0562,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,99.6,2.9E-02,2.9E-02,3.0E-01,30,14.6,6.6E-03,4.5E-02,8.1E-02,30,400,2.3E-02,5.8E-03,-2.2E-01,40,-0.0634,2.4E-01,3.8E+02,-2.2E+00,OK
5,16:04:19,young,9,shade,10,567.5,0,-0.0131,0.0461,141,1.74,3.66,33.20,6,1.42,1,2.84,30.56,33.20,29.94,149.95,149.58,12.162,14.734,27.24,33.01,400.1,2000,8,98.55,6.79,-0.0628,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,150,5.8E-02,3.9E-02,2.8E-02,30,14.7,4.5E-03,3.1E-02,5.8E-02,30,400,1.0E-02,2.6E-03,2.8E-03,40,0.296,2.5E-01,8.5E+01,-2.3E+00,OK
6,16:06:18,young,9,shade,10,686.5,0,0.762,0.0491,210,1.74,3.45,32.47,6,1.42,1,2.84,30.54,32.47,29.95,250.65,248.85,12.176,14.754,27.30,33.08,400.1,2000,9,98.54,7.51,-0.0574,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,249,5.6E-02,2.2E-02,6.7E-02,30,14.8,1.8E-03,1.2E-02,1.4E-02,30,400,2.9E-02,7.3E-03,-3.2E-01,40,1.06,2.3E-01,2.2E+01,-2.1E+00,OK
7,16:08:17,young,9,shade,10,805.5,0,1.32,0.0457,282,1.72,3.65,33.16,6,1.42,1,2.84,30.54,33.16,29.94,350.54,347.66,12.204,14.745,27.36,33.06,400.1,2000,8,98.54,8.06,-0.057,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,348,3.4E-02,9.8E-03,2.2E-01,30,14.7,3.1E-03,2.1E-02,-3.6E-02,30,400,1.1E-02,2.7E-03,-1.1E-01,40,1.59,1.7E-01,1.0E+01,-1.5E+00,OK
8,16:10:16,young,9,shade,10,924.5,0,2.5,0.0433,422,1.64,3.65,33.16,6,1.42,1,2.84,30.52,33.16,29.94,550.47,545.38,12.233,14.654,27.46,32.89,400.1,2001,7,98.53,8.56,-0.0544,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,545,5.5E-02,1.0E-02,-3.5E-01,30,14.7,6.4E-03,4.4E-02,-7.7E-02,30,400,2.3E-02,5.8E-03,-9.9E-02,40,2.63,1.6E-01,6.0E+00,-1.3E+00,OK
9,16:12:16,young,9,shade,10,1045.0,0,3.52,0.0414,565,1.57,3.66,33.16,6,1.42,1,2.84,30.53,33.16,29.94,750.17,743.14,12.266,14.584,27.52,32.72,400.1,2000,7,98.53,8.09,-0.0531,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,743,5.6E-02,7.5E-03,6.2E-02,30,14.6,3.1E-03,2.1E-02,-3.4E-02,30,400,3.8E-02,9.4E-03,-1.3E-01,40,3.33,9.3E-02,2.8E+00,7.3E-01,OK
10,16:14:30,young,9,shade,10,1178.5,0,4.07,0.0399,773,1.51,3.67,33.17,6,1.42,1,2.84,30.55,33.17,29.94,1001.05,992.70,12.312,14.550,27.59,32.60,400.1,2000,6,98.53,7.18,-0.0461,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,993,7.2E-02,7.3E-03,-2.5E-01,30,14.6,2.4E-03,1.7E-02,-2.8E-02,30,400,2.4E-02,6.0E-03,-2.8E-01,40,3.93,3.4E-01,8.7E+00,3.0E+00,OK
