Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
34,13:16:36,old,_epi,9,shade,5,8716.5,0,-0.667,0.0218,96.5,0.569,2.52,30.76,6,1.42,1,2.84,30.07,30.76,29.95,49.38,50.34,18.636,19.472,43.15,45.09,400,1500,62,99.05,4.26,-0.137,0.8,-0.22,2.74,1,0,0.16,111115,30,50.4,2.50E-02,5.00E-02,-2.80E-01,30,19.5,1.10E-03,5.70E-03,-4.00E-03,30,400,3.20E-02,7.90E-03,-3.00E-01,40,-0.858,1.80E-01,2.10E+01,1.70E+00,OK
35,13:18:45,old,_epi,9,shade,5,8846,0,-0.307,0.0214,118,0.561,2.53,30.78,6,1.42,1,2.84,30.07,30.78,29.95,99.35,99.72,18.657,19.482,43.2,45.1,400,1500,64,99.05,4.68,-0.138,0.8,-0.22,2.74,1,0,0.16,111115,30,99.8,4.80E-02,4.80E-02,-4.80E-01,30,19.5,2.40E-03,1.20E-02,-9.80E-03,30,400,2.90E-02,7.30E-03,-1.20E-01,40,-0.219,1.30E-01,6.00E+01,-1.10E+00,OK
36,13:20:53,old,_epi,9,shade,5,8973.5,0,-0.0483,0.0209,147,0.563,2.6,31.1,6,1.42,1,2.84,30.08,31.1,29.95,150.01,149.96,18.701,19.529,43.28,45.19,400.1,1500,60,99.04,4.98,-0.136,0.8,-0.22,2.74,1,0,0.16,111115,30,150,2.50E-02,1.60E-02,-1.70E-01,30,19.5,3.80E-03,1.90E-02,4.60E-02,30,400,2.00E-02,4.90E-03,-1.20E-01,40,0.00323,8.50E-02,2.60E+03,-7.10E-01,OK
37,13:23:02,old,_epi,9,shade,5,9103,0,0.0865,0.0207,234,0.543,2.53,30.81,6,1.42,1,2.84,30.08,30.81,29.95,250.94,250.61,18.745,19.544,43.36,45.21,400.1,1499,68,99.04,5.67,-0.14,0.8,-0.22,2.74,1,0,0.16,111115,30,251,6.00E-02,2.40E-02,5.90E-01,30,19.5,1.50E-03,7.60E-03,3.70E-04,30,400,1.60E-02,4.10E-03,-8.30E-02,40,0.413,1.90E-01,4.70E+01,-1.70E+00,OK
38,13:25:10,old,_epi,9,shade,5,9230.5,0,0.562,0.0206,292,0.541,2.53,30.84,6,1.42,1,2.84,30.1,30.84,29.95,350.44,349.32,18.781,19.576,43.4,45.24,400,1499,66,99.03,5.91,-0.137,0.8,-0.22,2.74,1,0,0.16,111115,30,349,5.60E-02,1.60E-02,4.50E-01,30,19.6,1.50E-03,7.50E-03,5.60E-03,30,400,2.00E-02,5.00E-03,-1.90E-01,40,0.601,9.80E-02,1.60E+01,-8.10E-01,OK
39,13:27:19,old,_epi,9,shade,5,9360,0,1.05,0.02,442,0.548,2.64,31.29,6,1.42,1,2.84,30.1,31.29,29.95,550.51,548.49,18.823,19.628,43.49,45.36,400.1,1499,68,99.03,6,-0.133,1,-0.22,2.74,1,0,0.16,111115,30,548,7.20E-02,1.30E-02,3.40E-01,30,19.6,4.80E-03,2.40E-02,1.10E-02,30,400,1.70E-02,4.10E-03,-1.20E-01,40,1.09,6.20E-02,5.70E+00,-3.20E-01,OK
40,13:29:27,old,_epi,9,shade,5,9487.5,0,1.6,0.0201,591,0.527,2.53,30.84,6,1.42,1,2.84,30.1,30.84,29.95,750.28,747.28,18.862,19.637,43.59,45.38,400.1,1499,64,99.02,5.29,-0.133,0.8,-0.22,2.74,1,0,0.16,111115,30,747,7.30E-02,9.80E-03,-3.00E-01,30,19.6,2.90E-03,1.50E-02,3.00E-02,30,400,3.00E-02,7.60E-03,-2.00E-01,40,1.46,1.40E-01,9.30E+00,1.20E+00,OK
41,13:31:41,old,_epi,9,shade,5,9622,0,2.15,0.0199,784,0.522,2.53,30.87,6,1.42,1,2.84,30.11,30.87,29.95,1000.2,996.18,18.898,19.665,43.65,45.42,400,1501,63,99.02,3.85,-0.139,0.8,-0.22,2.74,1,0,0.16,111115,30,996,4.70E-02,4.70E-03,3.20E-01,30,19.7,2.90E-03,1.50E-02,2.30E-02,30,400,1.60E-02,3.90E-03,-1.40E-01,40,1.66,4.80E-01,2.90E+01,4.10E+00,OK
42,13:33:50,old,_epi,9,shade,5,9751,0,2.63,0.019,973,0.522,2.64,31.32,6,1.42,1,2.84,30.11,31.32,29.95,1249.39,1244.47,18.922,19.69,43.71,45.48,400.1,1501,60,99.02,1.72,-0.132,0.8,-0.22,2.74,1,0,0.16,111115,30,1.24E+03,5.20E-02,4.20E-03,3.30E-01,30,19.7,2.20E-03,1.10E-02,-2.00E-02,30,400,2.40E-02,6.00E-03,2.40E-02,40,1.98,6.60E-01,3.30E+01,5.70E+00,OK
43,13:36:07,old,_epi,9,shade,5,9887.5,0,3.08,0.0188,1.17E+03,0.515,2.64,31.32,6,1.42,1,2.84,30.11,31.32,29.95,1499.54,1493.76,18.957,19.714,43.78,45.53,400.1,1500,67,99.01,-1.06,-0.132,0.8,-0.22,2.74,1,0,0.16,111115,30,1.49E+03,7.30E-02,4.90E-03,-9.20E-02,30,19.7,1.90E-03,9.70E-03,1.40E-02,30,400,2.10E-02,5.20E-03,-2.30E-01,40,2.18,8.80E-01,4.00E+01,8.20E+00,OK
