x_Obs_,x_HHMMSS_,x_treeNo__,x_sunOrShade_,x_leafAge_,x_leafNo__,x_FTime_,x_EBal__,x_Photo_,x_Cond_,x_Ci_,x_Trmmol_,x_VpdL_,x_CTleaf_,x_Area_,x_BLC_1_,x_StmRat_,x_BLCond_,x_Tair_,x_Tleaf_,x_TBlk_,x_CO2R_,x_CO2S_,x_H2OR_,x_H2OS_,x_RH_R_,x_RH_S_,x_Flow_,x_PARi_,x_PARo_,x_Press_,x_CsMch_,x_HsMch_,x_StableF_,x_BLCslope_,x_BLCoffst_,x_f_parin_,x_f_parout_,x_alphaK_,x_Status_,column_for_Exclude_pts
70,"09:25:59","118","sun","mature","5",11076.0,0,30.5,0.0948,1.37E+03,1.81,1.9,30.04,6,1.25,1,2.5,29.70,30.04,29.55,1999.43,1948.33,21.187,23.848,50.21,56.52,399.2,1999,12,99.24,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
71,"09:27:01","118","sun","mature","5",11138.0,0,27.9,0.0862,1.37E+03,1.62,1.87,29.79,6,1.25,1,2.5,29.69,29.79,29.55,1999.17,1952.55,21.184,23.566,50.24,55.89,399.2,1500,13,99.24,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
72,"09:28:02","118","sun","mature","5",11199.0,0,26.3,0.0802,1.37E+03,1.5,1.86,29.67,6,1.25,1,2.5,29.68,29.67,29.55,1999.32,1955.43,21.189,23.397,50.27,55.51,399.2,1250,14,99.23,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
73,"09:29:03","118","sun","mature","5",11260.0,0,24.3,0.0754,1.38E+03,1.39,1.83,29.49,6,1.25,1,2.5,29.67,29.49,29.55,1999.06,1958.36,21.205,23.252,50.35,55.21,399.2,999,39,99.23,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
74,"09:30:04","118","sun","mature","5",11321.0,0,22.7,0.0709,1.38E+03,1.31,1.82,29.40,6,1.25,1,2.5,29.66,29.40,29.55,1999.19,1961.15,21.229,23.146,50.43,54.98,399.2,800,40,99.23,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
75,"09:31:12","118","sun","mature","5",11389.0,0,18.6,0.0655,1.45E+03,1.19,1.79,29.20,6,1.25,1,2.5,29.64,29.20,29.55,1998.97,1967.53,21.256,22.999,50.54,54.68,399.2,501,10,99.23,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
76,"09:32:13","118","sun","mature","5",11450.0,0,13.6,0.062,1.57E+03,1.11,1.77,29.09,6,1.25,1,2.5,29.63,29.09,29.55,1998.75,1975.04,21.265,22.903,50.58,54.48,399.2,299,8,99.23,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
77,"09:33:14","118","sun","mature","5",11511.5,0,10.1,0.0588,1.65E+03,1.06,1.77,29.04,6,1.25,1,2.5,29.63,29.04,29.55,2000.23,1981.90,21.278,22.829,50.63,54.32,399.1,200,7,99.23,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
78,"09:34:15","118","sun","mature","5",11572.5,0,5.2,0.0554,1.78E+03,0.991,1.76,28.96,6,1.25,1,2.5,29.62,28.96,29.55,2000.34,1989.56,21.301,22.756,50.72,54.18,399.2,100,12,99.23,-14.4,0.207,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
79,"09:35:44","118","sun","mature","5",11661.0,0,3.49,0.0519,1.83E+03,0.924,1.75,28.89,6,1.25,1,2.5,29.59,28.89,29.55,2000.38,1992.37,21.313,22.671,50.81,54.05,399.2,50,11,99.22,-16.3,0.218,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
80,"09:37:22","118","sun","mature","5",11759.0,0,0.988,0.0474,1.91E+03,0.844,1.75,28.84,6,1.25,1,2.5,29.58,28.84,29.55,2000.27,1996.25,21.329,22.569,50.88,53.84,399.2,10,8,99.22,-16.5,0.211,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
81,"09:38:51","118","sun","mature","5",11848.5,0,0.192,0.0448,1.93E+03,0.795,1.74,28.77,6,1.25,1,2.5,29.58,28.77,29.55,2000.30,1997.63,21.320,22.488,50.88,53.66,399.2,-0,7,99.23,-16.7,0.218,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
