Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
1,11:09:53,mature,9,sun,3,311.0,0,5.03,0.051,218,1.26,2.41,31.25,6,1.42,1,2.84,30.09,31.25,29.94,398.91,390.63,19.990,21.840,46.28,50.57,400.0,1500,38,99.14,6.01,-0.193,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,391,6.1E-02,1.6E-02,7.5E-01,30,21.9,1.8E-02,8.2E-02,-2.4E-01,30,400,1.8E-02,4.4E-03,4.6E-02,40,5.04,4.3E-02,8.5E-01,-2.0E-01,OK
3,11:14:44,mature,9,sun,3,614.0,0,-0.854,0.0361,86.2,0.945,2.54,31.62,6,1.42,1,2.84,30.16,31.62,29.95,49.59,50.80,20.120,21.507,46.37,49.57,400.0,1499,33,99.13,4.22,-0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,50.8,2.3E-02,4.6E-02,-4.7E-02,30,21.5,2.8E-03,1.3E-02,3.2E-02,30,400,1.9E-02,4.7E-03,-1.6E-01,40,-0.992,2.0E-01,2.0E+01,1.7E+00,OK
4,11:16:55,mature,9,sun,3,744.5,0,-0.0265,0.0346,96.2,0.918,2.57,31.75,6,1.42,1,2.84,30.19,31.75,29.94,99.23,99.13,20.182,21.530,46.45,49.55,400.0,1501,39,99.13,4.74,-0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,99.2,3.0E-02,3.0E-02,-2.8E-02,30,21.5,1.5E-03,7.2E-03,9.7E-03,30,400,2.4E-02,6.0E-03,-4.9E-02,40,0.147,2.1E-01,1.4E+02,-1.8E+00,OK
5,11:19:04,mature,9,sun,3,874.0,0,0.666,0.0343,112,0.911,2.57,31.75,6,1.42,1,2.84,30.20,31.75,29.94,150.21,149.01,20.218,21.556,46.51,49.59,400.0,1500,95,99.12,5.07,-0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,149,2.9E-02,1.9E-02,2.5E-01,30,21.5,2.5E-03,1.1E-02,2.1E-02,30,400,2.3E-02,5.8E-03,-2.1E-01,40,0.816,1.0E-01,1.2E+01,-9.3E-01,OK
6,11:21:13,mature,9,sun,3,1002.5,0,2.03,0.0341,144,0.911,2.59,31.82,6,1.42,1,2.84,30.21,31.82,29.94,251.64,248.25,20.259,21.596,46.57,49.65,400.0,1500,30,99.12,5.63,-0.183,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,248,6.3E-02,2.5E-02,5.6E-01,30,21.6,2.4E-03,1.1E-02,7.7E-03,30,400,2.8E-02,7.0E-03,-1.1E-01,40,2.29,2.0E-01,8.7E+00,-1.8E+00,OK
7,11:23:22,mature,9,sun,3,1131.5,0,3.32,0.0346,179,0.918,2.57,31.77,6,1.42,1,2.84,30.19,31.77,29.94,350.57,345.11,20.278,21.625,46.66,49.76,400.0,1501,440,99.12,5.93,-0.179,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,345,5.2E-02,1.5E-02,3.6E-01,30,21.6,1.8E-03,8.2E-03,-1.5E-02,30,400,2.2E-02,5.6E-03,-1.4E-01,40,3.52,9.2E-02,2.6E+00,-7.7E-01,OK
8,11:25:31,mature,9,sun,3,1260.5,0,5.97,0.0353,251,0.94,2.58,31.81,6,1.42,1,2.84,30.22,31.81,29.94,550.63,540.91,20.291,21.670,46.62,49.79,400.0,1500,775,99.12,5.85,-0.185,1.0,-0.22,2.74,1.00,0.00,0.16,111125,30,541,5.0E-02,9.2E-03,-2.8E-02,30,21.7,3.6E-03,1.7E-02,2.6E-02,30,400,9.1E-03,2.3E-03,-4.5E-02,40,6.07,2.8E-02,4.7E-01,1.5E-01,OK
9,11:27:40,mature,9,sun,3,1389.5,0,8.46,0.0359,333,0.961,2.59,31.90,6,1.42,1,2.84,30.27,31.90,29.94,750.18,736.43,20.348,21.758,46.62,49.85,400.0,1499,481,99.11,5.23,-0.181,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,736,6.5E-02,8.8E-03,-6.6E-01,30,21.8,3.2E-03,1.4E-02,2.9E-02,30,400,1.5E-02,3.7E-03,-1.5E-02,40,8.26,2.2E-01,2.7E+00,1.9E+00,OK
10,11:29:55,mature,9,sun,3,1525.0,0,10.8,0.0354,457,0.949,2.6,31.94,6,1.42,1,2.84,30.27,31.94,29.94,1000.58,982.95,20.419,21.811,46.77,49.96,400.0,1501,89,99.11,4,-0.176,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,983,7.9E-02,8.0E-03,-5.5E-01,30,21.8,2.4E-03,1.1E-02,-9.9E-03,30,400,1.0E-02,2.5E-03,-7.5E-02,40,10.2,4.7E-01,4.6E+00,4.3E+00,OK
11,11:32:04,mature,9,sun,3,1653.5,0,12.6,0.0344,596,0.925,2.61,31.99,6,1.42,1,2.84,30.28,31.99,29.94,1249.18,1228.57,20.498,21.855,46.93,50.04,400.0,1500,86,99.11,1.59,-0.172,0.8,-0.22,2.74,1.00,0.00,0.16,111125,30,1.23e+03,6.5E-02,5.3E-03,-1.1E-01,30,21.8,3.2E-03,1.5E-02,2.7E-02,30,400,2.1E-02,5.4E-03,-5.6E-02,40,11.9,8.0E-01,6.7E+00,6.9E+00,OK
