Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,13:57:52,33,shade,old,2,528.5,0,6.79,0.0135,1.09E+03,0.501,3.54,33.94,6,1.42,1,2.84,30.72,33.94,29.93,2000.51,1988.83,17.318,18.056,38.47,40.11,400.1,2000,5,98.65,-2.21,-0.0744,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,13:59:23,33,shade,old,2,620.0,0,7.07,0.0137,1.07E+03,0.491,3.43,33.64,6,1.42,1,2.84,30.72,33.64,29.94,2000.29,1988.23,17.650,18.373,39.23,40.83,400.1,1750,15,98.65,-2.21,-0.0744,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,14:01:02,33,shade,old,2,719.0,0,6.91,0.0135,1.08E+03,0.461,3.27,33.22,6,1.42,1,2.84,30.66,33.22,29.94,1999.76,1988.02,17.993,18.672,40.11,41.62,400.1,1500,12,98.65,-2.21,-0.0744,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,14:02:38,33,shade,old,2,815.0,0,6.73,0.0131,1.08E+03,0.428,3.12,32.77,6,1.42,1,2.84,30.62,32.77,29.93,1999.25,1987.88,18.295,18.925,40.88,42.29,400.1,1250,13,98.65,-2.21,-0.0744,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,14:04:11,33,shade,old,2,908.0,0,6.26,0.0129,1.13E+03,0.402,2.99,32.40,6,1.42,1,2.84,30.59,32.40,29.94,1998.89,1988.31,18.562,19.154,41.55,42.87,400.1,1000,15,98.65,-2.21,-0.0744,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,14:05:43,33,shade,old,2,1000.0,0,6.1,0.0127,1.14E+03,0.383,2.88,32.06,6,1.42,1,2.84,30.55,32.06,29.95,1998.79,1988.50,18.799,19.362,42.17,43.43,400.1,801,27,98.64,-2.21,-0.0744,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,14:07:42,33,shade,old,2,1119.0,0,5.98,0.0116,1.09E+03,0.328,2.72,31.52,6,1.42,1,2.84,30.52,31.52,29.94,1998.48,1988.54,19.088,19.571,42.91,43.99,400.1,500,130,98.64,-2.57,-0.112,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,14:09:40,33,shade,old,2,1237.0,0,5.47,0.0113,1.14E+03,0.307,2.61,31.21,6,1.42,1,2.84,30.52,31.21,29.94,1999.79,1990.67,19.357,19.809,43.51,44.53,400.1,300,396,98.64,-2.48,-0.119,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,14:11:37,33,shade,old,2,1353.5,0,5.18,0.0107,1.15E+03,0.286,2.56,31.11,6,1.42,1,2.84,30.50,31.11,29.94,1999.51,1990.90,19.637,20.058,44.18,45.12,400.1,201,32,98.64,-2.75,-0.127,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,14:13:34,33,shade,old,2,1471.0,0,4.2,0.0106,1.29E+03,0.275,2.48,30.90,6,1.42,1,2.84,30.47,30.90,29.94,1999.18,1992.05,19.892,20.296,44.83,45.74,400.1,101,9,98.64,-2.81,-0.127,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,14:15:31,33,shade,old,2,1587.5,0,3.19,0.00995,1.41E+03,0.251,2.42,30.72,6,1.42,1,2.84,30.45,30.72,29.93,1998.95,1993.41,20.125,20.494,45.40,46.23,400.1,51,4,98.64,-2.99,-0.139,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,14:17:28,33,shade,old,2,1705.0,0,1.31,0.00979,1.71E+03,0.242,2.37,30.59,6,1.42,1,2.84,30.41,30.59,29.94,1998.77,1996.09,20.306,20.662,45.92,46.72,400.1,10,4,98.64,-3.31,-0.143,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
