Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,13:23:52,tower_tachi,more_shade,mature,n-a,974.5,0,-0.667,0.0727,62.8,2.53,3.4,33.03,6,1.42,1,2.84,30.83,33.03,29.93,49.95,51.03,11.917,16.885,26.27,37.21,300.7,1499,58,98.45,6.48,-0.128,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,13:26:05,tower_tachi,more_shade,mature,n-a,1107.5,0,0.367,0.0827,86.5,2.83,3.35,33.02,6,1.42,1,2.84,30.84,33.02,29.93,100.25,98.96,11.828,17.375,26.04,38.26,300.7,1500,878,98.45,7.22,-0.138,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,13:28:05,tower_tachi,more_shade,mature,n-a,1227.5,0,1.49,0.0784,108,2.71,3.38,33.04,6,1.42,1,2.84,30.85,33.04,29.93,150.20,146.43,11.769,17.089,25.90,37.60,300.7,1500,58,98.44,7.75,-0.131,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,13:30:51,tower_tachi,more_shade,mature,n-a,1393.5,0,3.01,0.0546,143,2.02,3.59,33.27,6,1.42,1,2.84,30.89,33.27,29.93,251.51,244.52,11.707,15.676,25.71,34.42,300.7,1499,66,98.43,8.7,-0.0904,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,13:33:02,tower_tachi,more_shade,mature,n-a,1524.0,0,4.35,0.0459,171,1.74,3.66,33.33,6,1.42,1,2.84,30.87,33.33,29.93,350.69,340.83,11.663,15.082,25.63,33.14,300.7,1499,54,98.43,9.36,-0.0825,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,13:35:18,tower_tachi,more_shade,mature,n-a,1660.5,0,6.85,0.0396,232,1.53,3.71,33.36,6,1.42,1,2.84,30.87,33.36,29.93,550.55,535.26,11.645,14.646,25.59,32.19,300.7,1499,52,98.43,10,-0.0719,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,13:38:03,tower_tachi,more_shade,mature,n-a,1825.0,0,7.88,0.0308,287,1.22,3.8,33.45,6,1.42,1,2.84,30.87,33.45,29.93,750.11,732.62,11.619,14.012,25.53,30.79,300.7,1500,80,98.42,9.89,-0.0632,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,13:40:17,tower_tachi,more_shade,mature,n-a,1959.0,0,10.3,0.0277,338,1.09,3.77,33.24,6,1.42,1,2.84,30.88,33.24,29.93,1001.03,978.39,11.584,13.722,25.45,30.14,300.7,1501,50,98.41,8.74,-0.0496,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,13:42:47,tower_tachi,more_shade,mature,n-a,2109.5,0,11.7,0.0253,423,1.01,3.84,33.42,6,1.42,1,2.84,30.89,33.42,29.93,1250.24,1224.32,11.544,13.538,25.33,29.71,300.7,1500,50,98.41,7.34,-0.0479,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,13:45:38,tower_tachi,more_shade,mature,n-a,2280.5,0,11.6,0.021,520,0.8,3.66,32.64,6,1.42,1,2.84,30.91,32.64,29.93,1500.22,1474.65,11.510,13.087,25.24,28.70,300.7,1500,50,98.4,4.5,-0.0386,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,13:48:37,tower_tachi,more_shade,mature,n-a,2459.0,0,12.2,0.0183,570,0.755,3.95,33.61,6,1.42,1,2.84,30.91,33.61,29.93,1750.07,1723.04,11.477,12.964,25.16,28.42,300.7,1499,47,98.4,1.21,-0.0328,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,13:50:38,tower_tachi,more_shade,mature,n-a,2580.5,0,13.5,0.0175,642,0.719,3.94,33.54,6,1.42,1,2.84,30.85,33.54,29.93,2000.39,1970.64,11.424,12.841,25.12,28.24,300.7,1500,38,98.39,-2.38,-0.0357,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,13:52:47,tower_tachi,more_shade,mature,n-a,2709.0,0,14.4,0.0168,735,0.685,3.91,33.38,6,1.42,1,2.84,30.82,33.38,29.93,2249.08,2217.21,11.348,12.698,25.01,27.98,300.7,1501,37,98.4,-6.52,-0.0281,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
